"","mean_expression.gene","mean_expression.epoch","mean_expression.mean_expression"
"Mapk13","Mapk13","epoch1",0.152862135150711
"Pim1","Pim1","epoch1",0.10861150135655
"Dnah8","Dnah8","epoch1",0.523014571309695
"Abcg1","Abcg1","epoch1",0.215311667640802
"Myo1f","Myo1f","epoch1",0.33303410805724
"Platr17","Platr17","epoch1",0.758282646458823
"H2-Ab1","H2-Ab1","epoch1",-0.140181917527
"Clic1","Clic1","epoch1",-0.619593213827037
"Ddah2","Ddah2","epoch1",-0.636490308027242
"Ddx39b","Ddx39b","epoch1",0.0168730206346597
"Psors1c2","Psors1c2","epoch1",0.491020245524832
"Dhx16","Dhx16","epoch1",0.86733329238415
"Zfp57","Zfp57","epoch1",0.437881594684523
